id;title;description;url;url_content_type;upload_date
1;fiercely foolhardy;meme till mmm;../fake-data/blob/hipster.png;image/png;2024-05-01T13:43:00
2;whose wearily gadzooks;accidentally silence;../fake-data/blob/hipster.png;image/png;2024-05-01T19:27:11
3;uh-huh;yahoo kindheartedly;../fake-data/blob/hipster.png;image/png;2024-05-01T01:31:00
4;external because mmm;oh since;../fake-data/blob/hipster.png;image/png;2024-05-01T14:13:03
5;overflight stylish obediently;questionably;../fake-data/blob/hipster.png;image/png;2024-05-01T12:36:10
6;mmm tremendous;remap lazily ruby;../fake-data/blob/hipster.png;image/png;2024-05-01T08:39:38
7;never;last;../fake-data/blob/hipster.png;image/png;2024-05-01T18:32:36
8;instead yum;glass yuck;../fake-data/blob/hipster.png;image/png;2024-05-01T13:04:49
9;spotless grumpy whenever;ecosystem;../fake-data/blob/hipster.png;image/png;2024-05-01T01:42:34
10;beneath creolize;cruelly;../fake-data/blob/hipster.png;image/png;2024-05-01T17:46:35
